bairro,Crianças,Famílias,codbairro,0 a 4 anos,Primeira Inf. Cadúnico,Percentual Primeira Inf. Cadúnico,suprimido
Sampaio,412.0,391.0,60,453,0.9094922737306843,90.94922737306842,False
Engenho Novo,1002.0,922.0,61,1905,0.525984251968504,52.59842519685039,False
Lins de Vasconcelos,740.0,681.0,62,1502,0.49267643142476697,49.2676431424767,False
Méier,304.0,280.0,63,1080,0.2814814814814815,28.14814814814815,False
Todos os Santos,65.0,62.0,64,746,0.0871313672922252,8.713136729222521,False
Cachambi,310.0,280.0,65,1412,0.21954674220963172,21.95467422096317,False
Engenho de Dentro,826.0,751.0,66,1772,0.46613995485327314,46.613995485327315,False
Água Santa,120.0,112.0,67,280,0.42857142857142855,42.857142857142854,False
Encantado,203.0,189.0,68,442,0.4592760180995475,45.92760180995475,False
Piedade,951.0,874.0,69,1616,0.588490099009901,58.849009900990104,False
Abolição,128.0,119.0,70,313,0.40894568690095845,40.894568690095845,False
Pilares,579.0,528.0,71,1036,0.5588803088803089,55.88803088803089,False
Vila Kosmos,253.0,224.0,72,544,0.4650735294117647,46.50735294117647,False
Vicente de Carvalho,580.0,535.0,73,1042,0.5566218809980806,55.66218809980806,False
Vila da Penha,140.0,132.0,74,754,0.1856763925729443,18.56763925729443,False
Vista Alegre,106.0,97.0,75,645,0.16434108527131783,16.434108527131784,False
Irajá,1198.0,1102.0,76,3596,0.3331479421579533,33.31479421579533,False
Colégio,764.0,720.0,77,1496,0.5106951871657754,51.06951871657755,False
Campinho,197.0,185.0,78,392,0.5025510204081632,50.255102040816325,False
Quintino Bocaiúva,537.0,497.0,79,1021,0.5259549461312438,52.59549461312438,False
Cavalcanti,459.0,420.0,80,597,0.7688442211055276,76.88442211055276,False
Engenheiro Leal,194.0,178.0,81,245,0.7918367346938775,79.18367346938776,False
Cascadura,706.0,643.0,82,1184,0.5962837837837838,59.62837837837838,False
Madureira,1145.0,1052.0,83,1766,0.6483578708946772,64.83578708946773,False
Vaz Lobo,449.0,392.0,84,582,0.7714776632302406,77.14776632302406,False
Turiaçú,444.0,392.0,85,649,0.6841294298921418,68.41294298921417,False
Rocha Miranda,962.0,871.0,86,1724,0.5580046403712297,55.800464037122964,False
Honório Gurgel,523.0,481.0,87,933,0.5605573419078242,56.055734190782424,False
Osvaldo Cruz,534.0,488.0,88,1289,0.4142746314972847,41.427463149728474,False
Bento Ribeiro,721.0,660.0,89,1541,0.46787800129785856,46.78780012978586,False
Marechal Hermes,832.0,771.0,90,1963,0.423841059602649,42.384105960264904,False
Ribeira,20.0,20.0,91,129,0.15503875968992248,15.503875968992247,False
Zumbi,,,92,78,,,True
Cacuia,174.0,160.0,93,439,0.39635535307517084,39.63553530751708,False
Pitangueiras,99.0,94.0,94,503,0.19681908548707752,19.681908548707753,False
Praia da Bandeira,,,95,205,,,True
Cocotá,65.0,62.0,96,174,0.3735632183908046,37.35632183908046,False
Bancários,357.0,319.0,97,600,0.595,59.5,False
Freguesia (Ilha),389.0,355.0,98,828,0.46980676328502413,46.98067632850241,False
Jardim Guanabara,36.0,32.0,99,967,0.03722854188210962,3.722854188210962,False
Jardim Carioca,368.0,344.0,100,790,0.46582278481012657,46.58227848101266,False
Tauá,473.0,441.0,101,1230,0.3845528455284553,38.455284552845534,False
Moneró,,,102,181,,,True
Portuguesa,198.0,188.0,103,839,0.2359952324195471,23.59952324195471,False
Galeão,556.0,508.0,104,1448,0.3839779005524862,38.39779005524862,False
Cidade Universitária,23.0,20.0,105,65,0.35384615384615387,35.38461538461539,False
Guadalupe,929.0,863.0,106,2073,0.4481427882296189,44.81427882296189,False
Anchieta,1802.0,1631.0,107,2866,0.6287508722958828,62.875087229588274,False
Parque Anchieta,336.0,308.0,108,962,0.3492723492723493,34.92723492723493,False
Ricardo de Albuquerque,920.0,833.0,109,1345,0.6840148698884758,68.40148698884758,False
Coelho Neto,1105.0,1006.0,110,1190,0.9285714285714286,92.85714285714286,False
Acari,1268.0,1162.0,111,2112,0.6003787878787878,60.03787878787878,False
Barros Filho,555.0,503.0,112,1400,0.3964285714285714,39.64285714285714,False
Costa Barros,1397.0,1272.0,113,1952,0.7156762295081968,71.56762295081968,False
Pavuna,2161.0,1996.0,114,5892,0.3667684996605567,36.67684996605567,False
Jacarepaguá,2621.0,2428.0,115,11499,0.22793286372728064,22.793286372728065,False
Anil,2542.0,2361.0,116,1504,1.690159574468085,169.0159574468085,False
Gardênia Azul,1305.0,1194.0,117,1227,1.0635696821515892,106.35696821515891,False
Cidade de Deus,2072.0,1893.0,118,1968,1.0528455284552845,105.28455284552845,False
Curicica,900.0,820.0,119,1485,0.6060606060606061,60.60606060606061,False
Freguesia (Jacarepaguá),731.0,675.0,120,3266,0.22382118799755052,22.38211879975505,False
Pechincha,290.0,273.0,121,1656,0.1751207729468599,17.51207729468599,False
Taquara,1930.0,1758.0,122,5078,0.38007089405277666,38.00708940527767,False
Tanque,1187.0,1073.0,123,1818,0.652915291529153,65.2915291529153,False
Praça Seca,1421.0,1305.0,124,3399,0.4180641365107384,41.80641365107384,False
Vila Valqueire,389.0,354.0,125,1382,0.28147612156295226,28.147612156295228,False
Joá,,,126,22,,,True
Itanhangá,1539.0,1413.0,127,4220,0.3646919431279621,36.46919431279621,False
Barra da Tijuca,274.0,257.0,128,5310,0.05160075329566855,5.1600753295668556,False
Camorim,423.0,398.0,129,83,5.096385542168675,509.6385542168675,False
Vargem Pequena,488.0,457.0,130,1827,0.26710454296661196,26.710454296661197,False
Vargem Grande,591.0,539.0,131,1191,0.49622166246851385,49.622166246851386,False
Recreio dos Bandeirantes,795.0,741.0,132,6450,0.12325581395348838,12.325581395348838,False
Grumari,,,133,15,,,True
Deodoro,402.0,371.0,134,742,0.5417789757412399,54.17789757412399,False
Vila Militar,85.0,80.0,135,798,0.10651629072681704,10.651629072681704,False
Campo dos Afonsos,,,136,178,,,True
Jardim Sulacap,151.0,137.0,137,696,0.21695402298850575,21.695402298850574,False
Magalhães Bastos,441.0,408.0,138,968,0.4555785123966942,45.557851239669425,False
Realengo,4223.0,3920.0,139,8532,0.4949601500234412,49.496015002344116,False
Padre Miguel,1179.0,1097.0,140,3101,0.3801999355046759,38.01999355046759,False
Bangu,5975.0,5546.0,141,11418,0.52329654930811,52.329654930810996,False
Senador Camará,2741.0,2502.0,142,5702,0.4807085233251491,48.07085233251491,False
Santíssimo,1542.0,1433.0,143,2482,0.621273166800967,62.1273166800967,False
Campo Grande,8100.0,7469.0,144,18505,0.43771953526074037,43.771953526074036,False
Senador Vasconcelos,900.0,820.0,145,1638,0.5494505494505495,54.94505494505495,False
Inhoaíba,2273.0,2083.0,146,4495,0.5056729699666296,50.56729699666296,False
Cosmos,2512.0,2309.0,147,5662,0.44365948428117274,44.36594842811728,False
Paciência,3683.0,3389.0,148,6333,0.5815569240486341,58.155692404863416,False
Santa Cruz,8838.0,8167.0,149,16093,0.5491828745417262,54.91828745417262,False
Sepetiba,2301.0,2129.0,150,3682,0.6249321021184139,62.49321021184139,False
Guaratiba,5408.0,5013.0,151,10088,0.5360824742268041,53.608247422680414,False
Barra de Guaratiba,102.0,94.0,152,208,0.49038461538461536,49.03846153846153,False
Pedra de Guaratiba,566.0,525.0,153,599,0.9449081803005008,94.49081803005008,False
Rocinha,989.0,918.0,154,4208,0.23502851711026615,23.502851711026615,False
Jacarezinho,211.0,197.0,155,2375,0.08884210526315789,8.884210526315789,False
Complexo do Alemão,1060.0,980.0,156,3477,0.3048605119355767,30.486051193557667,False
Maré,2691.0,2475.0,157,8553,0.31462644686075064,31.462644686075063,False
Vasco da Gama,46.0,40.0,158,745,0.06174496644295302,6.174496644295302,False
Parque Colúmbia,88.0,82.0,159,483,0.18219461697722567,18.219461697722565,False
Gericinó,,,160,178,,,False
Lapa,,,161,206,,,False
Vila Kennedy,,,162,1199,,,False
Jabour,,,163,173,,,False
Ilha de Guaratiba,,,164,309,,,False
Barra Olímpica,107.0,100.0,165,3251,0.03291294986158105,3.291294986158105,False
Argentino,,,166,33,,,True
